Assigned Coder,Is Double Coded?,Paper ID,Article Link,JUFO Level,"Paper Title

You can confirm this. If it does not match the publication, kindly change it","Source

You can confirm this. If it does not match the publication, kindly change it","Abstract

You can confirm this. If it does not match the publication, kindly change it","Publication Year

The year in which the research is published. You can confirm this. If it does not match the publication, kindly change it","Paper Type

The type of the paper, You can only select one.
The options include:
Research Article: Presents new, original findings from empirical research or analysis.
Review Article: Summarizes and synthesizes existing research on a topic, often identifying trends, gaps, or future directions.
Case Study: In-depth analysis of a specific instance event or subject often used to illustrate a broader principle or phenomenon.
Perspective Paper: Presents a personal point of view or opinion on a particular topic, often based on the author's expertise or experience.
Others: Mention others if it is not one of these types.","Field of Study (HCI or NLP) 
Select the primary research field: 

HCI (Human-Computer Interaction) focuses on how people interact with computers and technology; 
NLP (Natural Language Processing) focuses on computational linguistics and language understanding
BOTH 
OTHER ","Did the Study Conduct Experiments with People Using the Chatbot? (yes or no)

YES: The study included human participants who actually used or interacted with the chatbot system; 
NO: The study DID NOT include human participants who actually used or interacted with the chatbot system; ","Does the paper personify chatbots (i.e., assign them human traits like a role or personality)?
(Select Yes or No) 

YES: The paper mentions discusses or analyzes personas personality traits or human-like characteristics for chatbots; 
NO: The paper does not discuss these aspects","How Was Personification Done? 

Describe in ONE sentence how the chatbot was given human-like characteristics 

(e.g. 'The chatbot was configured to have a casual tone and extrovert personality type' or 'The bot used humor and informal language to appear friendly')","Is the Chatbot Representing a Specific Real Human? 

One Individual (Digital Twin) (yes or no)

YES: The chatbot is designed to represent or mimic one particular real person (like a digital version of a specific individual); 
NO: The chatbot has a fictional or general persona not based on a specific real person","List the Attributes Mentioned to Personify the Chatbot

List ALL attributes mentioned in the paper that give the chatbot human-like qualities (age, gender, occupation, personality traits, tone, style etc.). Separate with commas only. Do not write 'and' (e.g. '25, female, teacher, friendly enthusiastic')","Did the Chatbot Have a Human Name? (yes or no)

YES: The chatbot was given a specific human name (e.g. 'Alex' 'Sarah' 'ChatBot Charlie'); 
NO: The chatbot was not given a human name","Did the Chatbot Have a Gender? (yes or no) 

YES: The chatbot was assigned a specific gender (male female or other); 
NO: The chatbot was not assigned any gender","Self-Reference Method
How the chatbot refers to itself: 

FIRST-PERSON: Uses 'I' 'me' 'my' (e.g. 'I can help you'); 
THIRD-PERSON: Refers to itself by name or title (e.g. 'ChatBot can help you'); 
NOT MENTIONED: No clear indication of self-reference style","Visual Representation - How the chatbot appears to users

TEXT-ONLY: Pure text interface with no visual representation; 
AVATAR/EMBODIED: Has a visual character image or 3D representation","Communication Modality - Primary interaction method

TEXT: Users type and read messages; 
VOICE: Users speak and hear responses; 
MULTIMODAL: Combines text voice and/or other interaction methods","Backstory Provided for the Bot? (yes or no or no information)

YES: The chatbot was given a personal history background story or fictional biography; 
NO: No backstory was provided;
NO INFORMATION: Paper doesn't mention whether backstory exists","Was Politeness Encoded in Chatbot Behavior? (yes or no or no information)

YES: The chatbot was specifically programmed to use polite language manners or courteous behavior; 
NO: No specific politeness programming mentioned; 
NO INFORMATION: Paper doesn't address politeness aspects","Did Chatbot Initiate the Interaction? (yes or no or no information)

YES: The chatbot starts conversations or reaches out to users first;
NO: Users must initiate all interactions; 
NO INFORMATION: Paper doesn't specify who initiates","Is the Persona of the Chatbot Clearly Mentioned to the User? (Yes or No)

YES: Users are explicitly told about the chatbot's personality traits or persona; 
NO: The persona exists but users are not directly informed about it","Is the Persona Fixed or Adaptive?

FIXED: The chatbot has the same personality for all users; 
ADAPTIVE: The chatbot's personality changes or adapts based on individual user interactions preferences or contexts","What Research Methodology is Used?

EMPIRICAL: Studies that collect new data from real people or experiments. ;
CONCEPTUAL: Studies that discuss ideas, theories, or review existing research without collecting new data. ","If the study is empirical, what type of data is used?

QUANTITATIVE: Numerical data statistics measurements; 
QUALITATIVE: Interviews observations text analysis; 
MIXED METHOD: Combines both quantitative and qualitative data","What is the Context in Which the Chatbot is Used? 

Describe in ONE sentence the setting or domain where the chatbot operates (e.g. 'Healthcare support for elderly patients' 'Customer service for online shopping' 'Educational tutoring for mathematics')","Was Chatbot Developed for a Real Organization? (yes or no) 

YES: The chatbot was created for an actual company institution or organization; 
NO: The chatbot was developed for research purposes only or is theoretical","If Chatbot was Developed for a Real Organization 

Who was the Intended User Audience? Complete only if previous answer was YES

PEOPLE INSIDE THE ORGANIZATION: Employees staff or internal users; 
PEOPLE OUTSIDE THE ORGANIZATION: Customers clients or external users; 
PEOPLE BOTH INSIDE AND OUTSIDE THE ORGANIZATION: Mixed audience of internal and external users","How do Users Interact with Personas?

Primary purpose of interactions: 
ADVISORY: Providing advice guidance or recommendations; 
EDUCATIONAL: Teaching learning or training purposes; 
PROFESSIONAL USE: Work-related tasks or business functions; 
COMPANIONSHIP: Social interaction emotional support or relationship building; 
ENTERTAINMENT: Fun games or recreational activities; 
INFORMATIONAL: Providing information or answering questions; 
OTHER: Different purpose (specify in notes)","Instructions for Effect Sheet

Look for the experimental design and find the independant and dependent variables. Then in the effect sheet, write the code of the paper, mentioned in the column A, and then write the dependent, independent variables and other information as per the instructions in the sheet.",Chatbot's name
Joni Salminen,No,A09,https://www.zotero.org/groups/5802439/items/K6VKZ79N,1,Understanding user interactions with a chatbot: A self-determination theory approach,"Americas Conference on Information Systems 2018: Digital Disruption, AMCIS 2018","Artificial intelligence (AI) technology is advancing, and its application are widely used in many fields. AI chatbots powered by natural language processing are being integrated in numerous industries. AI chatbots help to improve customer services and enhance customer experiences. There is lack of study about the interactions between human and chatbots. As chatbots are designed to make interactions that are closer and more personal to the user, the way users communicate and interact with chatbots will differ from non-AI machines. Based on self-determination theory, this research aims to study the differences in system satisfaction between chatbot system and website system, and what factors determine satisfaction. The proposed research model hypothesizes the relationship between perceived autonomy, perceived competence, cognitive load, performance satisfaction, process satisfaction, and system satisfaction. It is proposed that the model will be tested using experimental survey. Ãƒâ€šÃ‚Â© 2018 Association for Information Systems. All rights reserved.",2018,Research Article,Other,No,No,,No,,No,No,Not Mentioned,Not mentioned,Text,No Information,No Information,No Information,Not mentioned,Not Mentioned,Conceptual,,Travel planning and information search for flights and hotel accommodations,No,,Informational,,Hipmunk
Joni Salminen,No,A13,https://www.zotero.org/groups/5802439/items/4JUBJS6Q,2,Troubleshooting Conversations: Exploring Chatbot Repair Strategies,ACM International Conference Proceeding Series,"Chatbots are increasingly used in various domains, but since misunderstandings nonetheless occur, robust strategies are required to handle these misunderstandings and ensure smooth interactions. The evaluation of a faulty chatbot can depend on various factors, for example the task domain or the characteristics of the user. This short paper provides an overview of three different repair strategies for chatbots, taking into account the users' affinity for technology. The conducted experimental psychological study investigates these three strategies, i.e. the requests for rephrasing, offering suggestions of what might be meant, and politeness to handle conversational errors. Results indicate that providing suggestions has a positive influence on the perceived Accuracy and Likability of the chatbot. Additionally, it seems that the combination of repair strategies should also be considered. Overall, this research contributes to a deeper understanding of ways to recover from a misunderstanding and provides guidelines for the implementation of different repair strategies for chatbot interaction. Ãƒâ€šÃ‚Â© 2024 ACM.",2024,Research Article,HCI,Yes,Yes,"The chatbot was programmed to use polite language including apologies and the word ""please"" when handling conversational errors and misunderstandings.",No,"polite, apologetic",No,No,First Person,Text Only,Text,No Information,Yes,No Information,No,Fixed,Empirical,Quantitative,"Healthcare information support, specifically answering questions about sepsis for potential use in nursing assistance.",Yes,People Inside the Organization,Informational,,
"Danial Amin, Joni Salminen, Jim Jansen, Sercan, Angelica",Yes,A15,https://www.zotero.org/groups/5802439/items/XID365DR,,Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,ACM International Conference Proceeding Series,"Conversational user interfaces have recently gained in popularity, for example in chatbot systems for customer service or as intelligent assistants on Smartphones or other IoT devices. However, conversational banking interfaces have also found their way into the mobile banking sector and allow banks to offer their customers a cost-effective and personalized solution to perform financial services via natural language. Conversational interfaces, in particular for mobile banking applications, are very sensitive to user acceptance and trust. Also, user experience and the perceived security influence their adoption significantly. To explore the influence of these dimensions we have implemented three prototypes for conversational banking and evaluated them in a user study with n=18 subjects concerning the factors mentioned above. Although the results suggest no significant differences between the prototypes, we can draw design implications for conversational interfaces for mobile banking from the collected quantitative and qualitative data. Ãƒâ€šÃ‚Â© 2021 ACM.",2021,Research Article,HCI,Yes,Yes,"The chatbot was named ""NEO"" and acted as a virtual banking assistant that proactively initiated conversations and requested details from users in a helpful manner.",No,"helpful, pleasant, proactive, conversational",Yes,No,Not Mentioned,Text Only,Multimodal,No Information,No Information,Yes,No,Fixed,Empirical,Mixed Method,"Mobile banking services allowing users to retrieve account information, send money to contacts, and pay invoices through conversational interfaces.",No,,Professional Use,,Neo
Joni Salminen,No,A16,https://www.zotero.org/groups/5802439/items/FSIZ3LGX,1,The Role of Trust in Proactive Conversational Assistants,IEEE Access,"Humans and machines harmoniously collaborating and benefiting from each other is a long lasting dream for researchers in robotics and artificial intelligence. An important feature of efficient and rewarding cooperation is the ability to assume possible problematic situations and act in advance to prevent negative outcomes. This concept of assistance is known under the term proactivity. In this article, we investigate the development and implementation of proactive dialogues for fostering a trustworthy human-computer relationship and providing adequate and timely assistance. Here, we make several contributions. A formalisation of proactive dialogue in conversational assistants is provided. The formalisation forms a framework for integrating proactive dialogue in conversational applications. Additionally, we present a study showing the relations between proactive dialogue actions and several aspects of the perceived trustworthiness of a system as well as effects on the user experience. The results of the experiments provide significant contributions to the line of proactive dialogue research. Particularly, we provide insights on the effects of proactive dialogue on the human-computer trust relationship and dependencies between proactive dialogue and user specific and situational characteristics. Ãƒâ€šÃ‚Â© 2013 IEEE.",2021,Research Article,HCI,Yes,Yes,"The NAO robot served as an embodied conversational assistant that could proactively initiate dialogue, provide suggestions with explanations, and act as a team member positioned beside the user during task completion.",No,"Expert, autonomous, proactive, helpful, team member, intelligent personal assistant",Yes,No,First Person,Avatar/Embodied,Multimodal,No,No Information,Yes,Yes,Fixed,Empirical,Quantitative,DIY task-planning assistance where the robot helps users plan home improvement projects by providing guidance on selecting appropriate tools and methods for completing task steps.,Yes,People Inside the Organization,Advisory,,Nao
Joni Salminen,No,A22,https://www.zotero.org/groups/5802439/items/8GWXQKBM,3,Student Interaction with NewtBot: An LLM-as-tutor Chatbot for Secondary Physics Education,Conference on Human Factors in Computing Systems - Proceedings,"Chatbots based on state-of-the-art large language models (LLMs) hold potential to act as beneficial educational tools. However, challenges to LLMs in education include concerns about not only the accuracy and interpretability of AI-generated text, but also about productive student engagement and positive user experience with LLM chatbots. In this paper, we introduce a physics education chatbot called NewtBot. We designed NewtBot to act as a personalized automated tutor to support secondary students' learning as they complete physics tasks. NewtBot's web interface has a modifiable back-end that internally prompts GPT-3.5 to produce different LLM behaviors. In a user study with German secondary school students (n=50), we evaluated student interactions with three different configurations of the GPT-3.5 back-end: a general-purpose ""baseline"" model, a setting-specific ""tutor"" model, and a problem-specific ""feedback"" model.We find that students had overall positive experiences using NewtBot, and that the setting-specific ""tutor"" model had the highest user experience ratings. Additionally, despite a majority of participants (72%) expressing apprehensions about using chatbots for school, 70% said they would use NewtBot to help with their physics school work. Ãƒâ€šÃ‚Â© 2024 Association for Computing Machinery. All rights reserved.",2024,Research Article,HCI,Yes,Yes,"NewtBot was designed as an ""upbeat, encouraging tutor"" with a personality represented by a green newt icon. The chatbot was explicitly given a persona as a physics tutor who helps students understand concepts through explanations, questions, and analogies.",No,"Upbeat, encouraging, tutor, helpful, supportive, enthusiastic, automated tutor, teaching assistant",No,No,Not Mentioned,Avatar/Embodied,Text,No,Yes,Yes,Yes,Fixed,Empirical,Mixed Method,Secondary (high school) physics education where NewtBot acts as an automated tutor to help students complete electromagnetism tasks through conversational assistance. Students used NewtBot to help solve predict-observe-explain tasks and application questions.,Yes,People Outside the Organization,Advisory,,NewtBot
Joni Salminen,No,A34,https://www.zotero.org/groups/5802439/items/DYFJI2I4,1,Personalized Medical Terminology Learning Game: Guess the Term,Games for Health Journal,"Objective: Wordbot, a chatbot designed for gamified education, transforms the process of memorizing complex medical terminology into an engaging and enjoyable activity for medical students. Taking inspiration from the ""guessing words"" game, Wordbot aims to improve medical students' learning outcomes by making the vocabulary memorization process more memorable. Materials and Methods: Wordbot, which can be implemented on the LINE platform, was created for this research, specifically to improve medical terminology learning. Wordbot incorporated mobile devices and personal computer-compatible flashcard games with features such as user ranking and personalization to enhance motivation and optimize learning outcomes. In the experimental research setting, half of a total of 48 nursing students were randomly assigned to use Wordbot for 4 months, and the other half were assigned to a control group relying on self-study without the help of Wordbot. Both groups received pretest and post-test to assess their respective learning of medical terminology. In this study, a statistical t-test was used to analyze the results between the two groups. In addition, user usability testing was conducted to evaluate the usability of Wordbot and gather feedback on user experience. Results: The results of this study have demonstrated that Wordbot is effective in facilitating students learning of medical terminology. Students experienced a significant improvement in their knowledge of medical terminology. An average user usability test score of 83.25 indicated that users' satisfaction with Wordbot is high. Conclusion: Incorporating gamification and personalization elements in Wordbot can significantly improve the overall enjoyment of the learning process. By participating in diverse interactive activities, users can effectively enhance their proficiency in spelling, recognition, and speaking. Wordbot utilizes sophisticated algorithms to generate customized questions based on identified mistakes, which facilitate error identification and correction. The robust findings of this study overwhelmingly support Wordbot's role as a convenient and easily accessible tool for learning medical terminology. The study was conducted according to the guidelines of the Declaration of Helsinki and approved by the Institutional Review Board of Chang Gung Medical Foundation (Protocol code: 202201586B0, date of approval: 8 November 2022). We obtained informed consent from all of our study participants regarding their willingness to participate in this study. Copyright 2024, Mary Ann Liebert, Inc., publishers.",2024,Research Article,Other,Yes,No,"Wordbot is described as a ""chatbot designed for gamified education"" but is not given human-like personality traits. The personification is minimal - it's characterized more as an educational tool than as a conversational agent with personality. The system interacts through menus and game interfaces rather than natural conversation.",No,,No,No,Not Mentioned,Text Only,Text,No,No Information,No Information,Yes,Adaptive,Empirical,Mixed Method,"Medical education context where nursing students learn medical terminology through gamified flashcard activities. Wordbot offers three game modes (multiple choice, spelling patterns, speech comparison) and allows students to create personalized card decks. The system tracks correct/incorrect answers and adaptively presents questions based on performance history.",Yes,People Inside the Organization,Educational,,Wordbot
Joni Salminen,No,A42,https://www.zotero.org/groups/5802439/items/79IPFFVY,3,Investigating meta-intents: user interaction preferences in conversational recommender systems,User Modeling and User-Adapted Interaction,"We propose the concept of meta-intents (MI) which represent high-level user preferences related to the interaction styles and decision-making support in conversational recommender systems (CRS). For determining meta-intent factors, we conduct an exploratory study with 212 participants, and a confirmatory study with 394 participants, from this, we obtain a reliable and stable MI questionnaire with 22 items corresponding to seven concepts. These seven factors cover important interaction preferences. We find that MI can be linked to users' general decision-making style and can thus be instrumental in translating general psychological user characteristics into more concrete design guidance for CRS. We further explore the correlations between MI and user interactions in real CRS scenarios. For this purpose, we propose a CRS framework and implement a chatbot in the smartphone domain to collect real interaction data. We conduct an online study with 99 participants and an interview study in the laboratory with 19 participants. Regarding the impact of MI on interaction behavior, we observe that dialog-initiation, efficiency-orientation and interest in details have a significant and direct impact on interaction behavior. Based on the findings, we provide some heuristic suggestions for leveraging MI in the design and adaptation of CRS. Our studies show the usefulness of the meta-intents concept for bridging the gap between general user characteristics and the concrete design of CRS and indicate their potential for personalizing the interaction in real-time conversations. Ãƒâ€šÃ‚Â© The Author(s), under exclusive licence to Springer Nature B.V. 2024.",2024,Research Article,HCI,Yes,No,"N/A - The paper does not personify the chatbot. It is presented as a conversational recommender system for smartphones without human-like personality, name, gender, or avatar. The focus is on interaction patterns and recommendation functions rather than anthropomorphic characteristics.",No,,No,No,Not Mentioned,Text Only,Text,No,No Information,Yes,Yes,Adaptive,Empirical,Mixed Method,E-commerce shopping context where users interact with a conversational recommender system to find and purchase smartphones.,No,,Informational,,
Joni Salminen,No,A47,https://www.zotero.org/groups/5802439/items/MS6KRTWB,3,"I Enjoy Writing and Playing, Do You?: A Personalized and Emotion Grounded Dialogue Agent Using Generative Adversarial Network",IEEE Transactions on Affective Computing,"Social chatbots have gained immense popularity, and their appeal lies in their capacity to respond to diverse requests, but also in their ability to develop an emotional connection with users. To develop and promote social chatbots, we need to concentrate on increasing user interaction and consider both the intellectual and emotional quotient in conversational agents. In this work, we propose the task of empathetic, personalized dialogue generation giving the machine the capability to respond emotionally and in accordance with the persona of the user. We design a generative adversarial framework, named EP-GAN (Empathy and Persona aware Generative Adversarial Network) to generate responses that are sensitive to the emotion of the user and corresponds to the persona. The persona information is encoded as memory vectors that, along with the dialogue history, are fed to the decoder for generation. An interactive adversarial learning framework is implemented to verify whether the generated responses elicit the emotion and persona in dialogues. Experimental results show that the EP-GAN framework significantly outperforms the existing baselines for both automatic and manual evaluation. We achieve an improvement of 1 point BLEU-4 and 2 points in the emotion accuracy metric compared to the best performing baseline. Ãƒâ€šÃ‚Â© 2010-2012 IEEE.",2023,Research Article,NLP,Yes,Yes,"The chatbot is designed to maintain a consistent persona based on predefined personality texts (e.g., ""I am primarily a meat eater,"" ""I am a guitar player,"" ""Welding is my career field"").",No,"Personality traits, Emotional capability, Social bonding capability, Understanding of user personality, Virtual companion role, Human-like conversational ability, Caring and considerate nature, Pro-social behavior",No,No,Not Mentioned,Text Only,Text,Yes,No Information,No Information,Yes,Fixed,Empirical,Mixed Method,Open-domain social chatbot / chit-chat conversational system designed to be a virtual companion and establish emotional connections with users.,No,,Companionship,,
Joni Salminen,No,A54,https://www.zotero.org/groups/5802439/items/G84HEYTC,1,Factors influencing acceptance and trust of chatbots in juvenile offenders' risk assessment training,FRONTIERS IN PSYCHOLOGY,"IntroductionResearch has identified simulation-based training with chatbots and virtual avatars as an effective educational strategy in some domains, such as medicine and mental health disciplines. Several studies on interactive systems have also suggested that user experience is decisive for adoption. As interest increases, it becomes important to examine the factors influencing user acceptance and trust in simulation-based training systems, and to validate applicability to specific learning tasks. The aim of this research is twofold: (1) to examine the perceived acceptance and trust in a risk assessment training chatbot developed to help students assess risk and needs of juvenile offenders, and (2) to examine the factors influencing students' perceptions of acceptance and trust. MethodsParticipants were 112 criminology students in an undergraduate course in a Canadian university. Participants were directed to use a custom-designed chatbot with a virtual 3D avatar for juvenile offenders' risk assessment training, to complete online questionnaires and a risk assessment exercise. ResultsResults show satisfactory levels of acceptance and trust in the chatbot. Concerning acceptance, more than half appeared to be satisfied or very satisfied with the chatbot, while most participants appeared to be neutral or satisfied with the benevolence and credibility of the chatbot. DiscussionResults suggest that acceptance and trust do not only depend on the design of the chatbot software, but also on the characteristics of the user, and most prominently on self-efficacy, state anxiety, learning styles and neuroticism personality traits. As trust and acceptance play a vital role in determining technology success, these results are encouraging.",2023,Research Article,Other,Yes,Yes,"The chatbot features a 3D virtual avatar created with MakeHuman software with detailed human characteristics (hair, skin, measurements, tooth shape, posture).",Yes,"Physical appearance; Voice, Backstory, Behavioral patterns, Setting/environment, Personal history",No,Yes,First Person,Avatar/Embodied,Multimodal,Yes,No Information,No Information,Yes,Fixed,Empirical,Mixed Method,Educational/training context for criminology students learning juvenile offender risk assessment.,Yes,People Outside the Organization,Professional Use,,
Joni Salminen,No,A75,https://www.zotero.org/groups/5802439/items/WW36I4T9,2,ChatGPT for Learning HCI Techniques: A Case Study on Interviews for Personas,IEEE Transactions on Learning Technologies,"Before interacting with real users, developers must be proficient in human-computer interaction (HCI) so as not to exhaust user patience and availability. For that, substantial training and practice are required, but it is costly to create a variety of high-quality HCI training materials. In this context, chat generative pretrained transformer (ChatGPT) and other chatbots based on large language models (LLMs) offer an opportunity to generate training materials of acceptable quality without foregoing specific human characteristics present in real-world scenarios. Personas is a user-centered design method that encompasses fictitious but believable user archetypes to help designers understand and empathize with their target audience during product design. We conducted an exploratory study on the Personas technique, addressing the validity and believability of interviews designed by HCI trainers and answered by ChatGPT-simulated users, which can be used as training material for persona creation. Specifically, we employed ChatGPT to respond to interviews designed by user experience (UX) experts. Two groups, HCI professors and professionals, then evaluated the validity of the generated materials considering quality, usefulness, UX, and ethics. The results show that both groups rated the interviews as believable and helpful for Personas training. However, some concerns about response repetition and low response variability suggested the need for further research on improved prompt design in order to generate more diverse and well-developed responses. The findings of this study provide insight into how HCI trainers can use ChatGPT to help their students master persona creation skills before working with real users in real-world scenarios for the first time. Ãƒâ€šÃ‚Â© 2008-2011 IEEE.",2024,Research Article,HCI,Yes,Yes,"Personification was achieved by configuring ChatGPT with detailed system prompts that defined specific user archetypes (students, staff, professors), complete with demographics, behavioral patterns, and pain points, along with hyperparameter settings to ensure diverse responses, enabling the AI to roleplay as 40 distinct fictional university stakeholders during structured interviews about the intranet system.",No,"User role/profile, Age, Gender, Name, Educational level, Language style, Technology usage patterns, Behavioral patterns, Activities/context, Information needs, Pain points/frustrations, Preferences, Goals, Personality traits, Work/study context, Years at institution, Tool usage",Yes,Yes,First Person,Text Only,Text,Yes,Yes,No,Yes,Fixed,Empirical,Mixed Method,"Educational/training context for HCI and UX professionals learning user research techniques, specifically the Personas technique.",Yes,People Inside the Organization,Educational,,Lucas
